algorithm,pop_condition,n_players,n_rounds,n_cats,opponent_type,society_pop_sum,agent_final_pop,agent_percentile,agent_won
EXP4,equal,5,40,2,randoms,259.8930063826106,76.54990851212567,0.6,0
EXP4,equal,5,40,2,randoms,148.3786558523829,0.27369709172136747,0.6,0
EXP4,equal,5,40,2,randoms,171.6215146728487,0.06428290384022008,0.6,0
EEE,equal,15,10,0,banditsociety,1510.9933388957638,77.37639121522932,0.06666666666666667,0
EEE,equal,15,10,0,banditsociety,1464.5033279220609,169.19729750958294,1.0,1
EEE,equal,15,10,0,banditsociety,1524.3798463638595,102.82977958040969,0.6666666666666666,0
EEE,equal,15,10,0,banditsociety,1504.5203067442458,109.3264979434264,0.8666666666666667,0
EEE,equal,15,10,0,banditsociety,1497.683478643047,89.50510557763432,0.4666666666666667,0
DQN,equal,20,30,0,banditsociety,3094.077354025204,174.44068737467808,0.85,0
DQN,equal,20,30,0,banditsociety,2967.8553836025035,176.36557789551426,0.95,0
DQN,equal,20,30,0,banditsociety,3155.147811186963,123.61278152560467,0.3,0
DQN,equal,20,30,0,banditsociety,3182.8734204053085,189.36100621325022,0.95,0
DQN,equal,20,30,0,banditsociety,2917.4008286775643,76.27812781845333,0.05,0
DQN,equal,20,20,0,banditsociety,2281.636848984923,135.45488702673157,0.85,0
DQN,equal,20,20,0,banditsociety,2357.451604111959,100.38510502256322,0.2,0
DQN,equal,20,20,0,banditsociety,2295.137598849428,159.9971576990071,1.0,1
DQN,equal,20,20,0,banditsociety,2270.3339693663474,101.50161973859032,0.35,0
DQN,equal,20,20,0,banditsociety,2275.2588622408257,161.19960225056116,1.0,1
AlegAATr,equal,15,10,2,cabsnocat,1468.3025276137275,2.9859979175053954,0.4,0
AlegAATr,equal,15,10,2,cabsnocat,1520.5163693142263,156.28866924122025,0.6,0
AlegAATr,equal,15,10,2,cabsnocat,1488.5778148343668,6.124126825877157,0.3333333333333333,0
AlegAATr,equal,15,10,2,cabsnocat,1555.2165365636836,0.0,0.13333333333333333,0
AlegAATr,equal,15,10,2,cabsnocat,1427.8362735908604,120.69320900734989,0.5333333333333333,0
EXP4,equal,10,40,1,selfplay,813.3291055563793,82.16770526353108,0.5,0
EXP4,equal,10,40,1,selfplay,750.2305549100599,90.09818182062185,1.0,1
EXP4,equal,10,40,1,selfplay,624.7694463946434,63.455054899234995,0.4,0
EXP4,equal,10,40,1,selfplay,740.4997228216225,77.34685332541723,0.5,0
EXP4,equal,10,40,1,selfplay,851.3439066058788,76.43057681674185,0.2,0
AlegAATr,equal,20,10,1,selfplay,2225.464469676372,136.88902693415838,0.9,0
AlegAATr,equal,20,10,1,selfplay,2246.8704221202247,87.86593582356883,0.15,0
AlegAATr,equal,20,10,1,selfplay,2234.3622689711165,169.14154059956468,1.0,1
AlegAATr,equal,20,10,1,selfplay,2140.332061960578,97.4463197119703,0.3,0
AlegAATr,equal,20,10,1,selfplay,2125.1066500637075,91.85452675582954,0.35,0
EXP4,equal,20,10,1,banditsociety,1968.0175385359562,98.34646585993528,0.6,0
EXP4,equal,20,10,1,banditsociety,2025.2799287281448,98.15036588555202,0.4,0
EXP4,equal,20,10,1,banditsociety,2033.913077615715,123.58450466310813,0.9,0
EXP4,equal,20,10,1,banditsociety,2025.7393351320557,108.5085045911229,0.8,0
EXP4,equal,20,10,1,banditsociety,1995.8753211672877,104.52684415487211,0.65,0
UCB,equal,5,10,1,randoms,355.5120290192792,136.78749894266852,0.8,0
UCB,equal,5,10,1,randoms,294.6198315059503,132.7881123663049,0.8,0
UCB,equal,5,10,1,randoms,329.8556101347677,121.74079630764622,0.8,0
UCB,equal,5,10,1,randoms,299.961006806525,135.34968263812678,0.8,0
UCB,equal,5,10,1,randoms,284.9010803632068,138.28682914566366,0.8,0
EEE,equal,5,20,1,cabsonecat,203.57109756456373,134.8746707487344,1.0,1
EEE,equal,5,20,1,cabsonecat,142.65875186051187,0.0,0.2,0
EEE,equal,5,20,1,cabsonecat,746.3027417796482,90.90534192163494,0.6,0
EEE,equal,5,20,1,cabsonecat,854.3520801231865,60.67457414821235,0.2,0
EEE,equal,5,20,1,cabsonecat,483.70436820945736,86.85806349849358,0.4,0
EXP4,equal,15,10,1,cabsonecat,1812.3902918399062,103.05465521948506,0.2,0
EXP4,equal,15,10,1,cabsonecat,2062.7570033497905,154.31102767107893,0.4,0
EXP4,equal,15,10,1,cabsonecat,1955.8264478853139,86.21097889773655,0.06666666666666667,0
EXP4,equal,15,10,1,cabsonecat,2041.508728593953,101.65614721962481,0.13333333333333333,0
EXP4,equal,15,10,1,cabsonecat,1668.6532284660425,120.0690629362296,0.8,0
D-UCB,equal,15,10,2,mixture,1503.2345808127504,114.59653097463008,0.8,0
D-UCB,equal,15,10,2,mixture,1339.5856624347737,109.74423911582696,0.5333333333333333,0
D-UCB,equal,15,10,2,mixture,1493.2415004885836,109.72336506964697,0.6,0
D-UCB,equal,15,10,2,mixture,1477.0606469563281,128.09528233372086,0.9333333333333333,0
D-UCB,equal,15,10,2,mixture,1406.5786048143991,103.37715953615012,0.4,0
SW-UCB,equal,15,10,2,cabsnocat,2028.0685140495161,68.98025829464429,0.13333333333333333,0
SW-UCB,equal,15,10,2,cabsnocat,2063.803187453882,103.4695260121835,0.13333333333333333,0
SW-UCB,equal,15,10,2,cabsnocat,2054.0871644556732,131.1356817227472,0.5333333333333333,0
SW-UCB,equal,15,10,2,cabsnocat,1926.1164682895871,113.89590429650005,0.3333333333333333,0
SW-UCB,equal,15,10,2,cabsnocat,1958.8580816416586,97.07353841014985,0.13333333333333333,0
EEE,equal,5,30,1,cabsonecat,339.43456894540964,0.050848264224746365,0.2,0
EEE,equal,5,30,1,cabsonecat,319.6292541371974,73.62923227414403,0.4,0
EEE,equal,5,30,1,cabsonecat,259.7080435977318,61.80402273400822,0.6,0
EEE,equal,5,30,1,cabsonecat,1301.768340152734,43.293954489725905,0.2,0
EEE,equal,5,30,1,cabsonecat,575.8555489954718,64.71746693588402,0.4,0
SW-UCB,equal,5,10,2,banditsociety,452.19103750440246,90.4382075008805,1.0,1
SW-UCB,equal,5,10,2,banditsociety,367.9080463153678,101.30582953398554,1.0,1
SW-UCB,equal,5,10,2,banditsociety,452.19103750440246,90.4382075008805,1.0,1
SW-UCB,equal,5,10,2,banditsociety,452.19103750440246,90.4382075008805,1.0,1
SW-UCB,equal,5,10,2,banditsociety,452.19103750440246,90.4382075008805,1.0,1
AlegAATr,equal,15,40,1,cabsrandomparams,1030.2943052863877,7.123135095070016,0.4666666666666667,0
AlegAATr,equal,15,40,1,cabsrandomparams,3241.5618649621906,165.08377944258075,0.8,0
AlegAATr,equal,15,40,1,cabsrandomparams,2993.960555189974,375.4898725794829,1.0,1
AlegAATr,equal,15,40,1,cabsrandomparams,1897.6644625507504,176.68807940865443,0.8666666666666667,0
AlegAATr,equal,15,40,1,cabsrandomparams,3151.4552649117977,420.2998187295888,0.8666666666666667,0
D-UCB,equal,20,20,2,cabsonecat,3374.923864076657,52.563256056704745,0.05,0
D-UCB,equal,20,20,2,cabsonecat,3224.3722330281416,98.82969559446988,0.35,0
D-UCB,equal,20,20,2,cabsonecat,3653.363643581869,0.0,0.1,0
D-UCB,equal,20,20,2,cabsonecat,3209.486625866028,113.67245891590667,0.4,0
D-UCB,equal,20,20,2,cabsonecat,3297.230957640854,0.0,0.05,0
R-UCB,equal,20,20,0,mixture,2639.3741098598025,95.67455125357323,0.3,0
R-UCB,equal,20,20,0,mixture,2965.947858134561,79.40631668741463,0.3,0
R-UCB,equal,20,20,0,mixture,2110.865552592275,143.46806045058162,0.9,0
R-UCB,equal,20,20,0,mixture,1859.2174854388338,115.32061677659615,0.55,0
R-UCB,equal,20,20,0,mixture,3292.144805257519,106.14726382474333,0.4,0
R-UCB,equal,20,30,0,mixture,3988.151488846449,126.47969552518744,0.7,0
R-UCB,equal,20,30,0,mixture,6407.065053392107,52.20126924445284,0.2,0
R-UCB,equal,20,30,0,mixture,5571.072462870623,61.693994248329204,0.2,0
R-UCB,equal,20,30,0,mixture,4316.093026703204,158.9123092401772,0.5,0
R-UCB,equal,20,30,0,mixture,5610.267706930723,91.13764108170663,0.45,0
D-UCB,equal,20,30,2,cabsonecat,4375.4862019256925,62.48900399448558,0.3,0
D-UCB,equal,20,30,2,cabsonecat,6820.127462965874,5.551115123125783e-16,0.05,0
D-UCB,equal,20,30,2,cabsonecat,5229.454452409412,69.16649228316098,0.15,0
D-UCB,equal,20,30,2,cabsonecat,3978.8846907841025,6.661338147750939e-16,0.2,0
D-UCB,equal,20,30,2,cabsonecat,6197.49012260541,64.1268812473718,0.25,0
SW-UCB,equal,15,10,2,cabsrandomparams,1548.271055378725,117.03485952851648,0.7333333333333333,0
SW-UCB,equal,15,10,2,cabsrandomparams,1559.1542808310821,93.17301996948817,0.2,0
SW-UCB,equal,15,10,2,cabsrandomparams,1337.8043718126382,108.59976959900823,0.8,0
SW-UCB,equal,15,10,2,cabsrandomparams,1715.3545099974292,117.99727076761496,0.6666666666666666,0
SW-UCB,equal,15,10,2,cabsrandomparams,1481.8530956112597,88.05082615375268,0.13333333333333333,0
UCB,equal,15,30,1,mixture,1931.4486198249053,105.7656446408805,0.4666666666666667,0
UCB,equal,15,30,1,mixture,2632.5659801714514,75.8144349388123,0.5333333333333333,0
UCB,equal,15,30,1,mixture,3536.5941436605494,0.11090357578569343,0.13333333333333333,0
UCB,equal,15,30,1,mixture,2970.7049904113,3.2587383573654223,0.4666666666666667,0
UCB,equal,15,30,1,mixture,884.0999012059833,3.1308049823898934,0.4666666666666667,0
R-UCB,equal,10,20,1,randoms,508.47887440153636,187.40593121833993,0.9,0
R-UCB,equal,10,20,1,randoms,487.63045523260416,189.92191806928443,0.9,0
R-UCB,equal,10,20,1,randoms,506.8893680901855,179.11525560647513,0.9,0
R-UCB,equal,10,20,1,randoms,495.4519959658139,196.6594459403834,0.9,0
R-UCB,equal,10,20,1,randoms,493.2868551805775,177.59708158628578,0.9,0
D-UCB,equal,15,10,2,cabsrandomparams,1508.0962239490073,120.40610175933158,0.8666666666666667,0
D-UCB,equal,15,10,2,cabsrandomparams,1564.2872979709634,113.60559469826799,0.7333333333333333,0
D-UCB,equal,15,10,2,cabsrandomparams,1193.6430461868754,108.11655823030705,0.6666666666666666,0
D-UCB,equal,15,10,2,cabsrandomparams,1608.4905603419,80.80620625163607,0.2,0
D-UCB,equal,15,10,2,cabsrandomparams,1462.5477381427536,101.31215800099771,0.4666666666666667,0
AlegAATr,equal,5,10,1,cabstwocats,452.19103750440246,90.4382075008805,1.0,1
AlegAATr,equal,5,10,1,cabstwocats,452.19103750440246,90.4382075008805,1.0,1
AlegAATr,equal,5,10,1,cabstwocats,452.19103750440246,90.4382075008805,1.0,1
AlegAATr,equal,5,10,1,cabstwocats,452.19103750440246,90.4382075008805,1.0,1
AlegAATr,equal,5,10,1,cabstwocats,452.19103750440246,90.4382075008805,1.0,1
EEE,equal,5,10,2,randoms,324.5846694242339,105.8849009141715,0.8,0
EEE,equal,5,10,2,randoms,277.19230899849674,0.30092267267477446,0.4,0
EEE,equal,5,10,2,randoms,246.979619137919,1.1575513934409312,0.6,0
EEE,equal,5,10,2,randoms,328.31801378936194,104.233787813713,0.6,0
EEE,equal,5,10,2,randoms,367.33871239618674,109.1184545451326,0.6,0
UCB,equal,15,20,1,mixture,2088.6778287292063,117.31011402887934,0.4,0
UCB,equal,15,20,1,mixture,2391.054067359068,107.01305272478757,0.4666666666666667,0
UCB,equal,15,20,1,mixture,899.2817275512809,182.62789682097318,1.0,1
UCB,equal,15,20,1,mixture,2126.999805333176,97.52295114490757,0.3333333333333333,0
UCB,equal,15,20,1,mixture,770.6222757731399,0.21342340864681697,0.4666666666666667,0
SW-UCB,equal,20,10,1,banditsociety,2041.217331311564,131.4879253242106,1.0,1
SW-UCB,equal,20,10,1,banditsociety,2035.0235965505626,98.5741095076055,0.6,0
SW-UCB,equal,20,10,1,banditsociety,2038.3821297827235,111.73096613342074,0.85,0
SW-UCB,equal,20,10,1,banditsociety,1905.8910071542318,151.22608771974808,0.95,0
SW-UCB,equal,20,10,1,banditsociety,1995.5850787209276,83.1887464720725,0.3,0
EEE,equal,15,40,0,mixture,3595.890493914709,860.3428613992678,0.9333333333333333,0
EEE,equal,15,40,0,mixture,4868.383437099913,411.28145791595904,0.7333333333333333,0
EEE,equal,15,40,0,mixture,4489.744593402212,531.8231353917255,0.8,0
EEE,equal,15,40,0,mixture,1704.025042421476,112.93622975456103,0.7333333333333333,0
EEE,equal,15,40,0,mixture,6200.912494146738,28.748306965279372,0.2,0
R-UCB,equal,10,30,1,randoms,415.78730299664994,163.3541315225752,0.9,0
R-UCB,equal,10,30,1,randoms,432.1635791490846,180.2018029295359,0.9,0
R-UCB,equal,10,30,1,randoms,425.87011944627056,170.32648513445116,0.9,0
R-UCB,equal,10,30,1,randoms,449.8545005606777,174.40132001637167,0.9,0
R-UCB,equal,10,30,1,randoms,441.2860301941673,195.29810172605576,0.9,0
EEE,equal,20,40,0,banditsociety,3952.9241897835423,175.3010663756624,0.25,0
EEE,equal,20,40,0,banditsociety,3885.7699714218998,173.52820229015055,0.35,0
EEE,equal,20,40,0,banditsociety,3725.613482580884,167.13100580595335,0.45,0
EEE,equal,20,40,0,banditsociety,3621.362613914828,146.9748939609709,0.45,0
EEE,equal,20,40,0,banditsociety,3809.6041889816725,239.62354785108522,0.9,0
EXP4,equal,10,10,0,cabsnocat,1657.1209149492965,69.45077585854254,0.1,0
EXP4,equal,10,10,0,cabsnocat,1631.5065470569439,112.2942433886568,0.1,0
EXP4,equal,10,10,0,cabsnocat,1645.4944985868747,122.55439362760885,0.1,0
EXP4,equal,10,10,0,cabsnocat,1579.4249738583994,127.70084259723959,0.3,0
EXP4,equal,10,10,0,cabsnocat,1690.003019190055,146.84887832755055,0.1,0
DQN,equal,10,30,0,cabsnocat,4344.384166153591,62.06513848701521,0.1,0
DQN,equal,10,30,0,cabsnocat,4598.686186925157,42.77650360069068,0.1,0
DQN,equal,10,30,0,cabsnocat,4929.864070613513,46.807560254918094,0.1,0
DQN,equal,10,30,0,cabsnocat,5053.978388021929,19.000674573729146,0.1,0
