algorithm,pop_condition,n_players,n_rounds,n_cats,opponent_type,society_pop_sum,agent_final_pop,agent_percentile,agent_won
DQN,equal,20,40,0,banditsociety,2177.249071015087,84.88457001175533,0.2,0
DQN,equal,20,40,0,banditsociety,2370.3922975549663,121.5289598012109,0.6,0
DQN,equal,20,40,0,banditsociety,2433.074876387125,149.00720601129558,0.95,0
DQN,equal,20,40,0,banditsociety,2231.983234990141,142.9361497791756,0.85,0
DQN,equal,20,40,0,banditsociety,2028.2897383032764,98.28399906092929,0.6,0
EEE,equal,20,10,0,cabsnocat,3252.5805767707043,92.83263695208986,0.05,0
EEE,equal,20,10,0,cabsnocat,3462.2177444745143,98.37893962800362,0.05,0
EEE,equal,20,10,0,cabsnocat,3393.8167911522423,127.7668879235685,0.05,0
EEE,equal,20,10,0,cabsnocat,3336.8358154895086,91.72205202961378,0.05,0
EEE,equal,20,10,0,cabsnocat,3441.2266693676174,82.20528211028308,0.05,0
DQN,equal,10,10,2,randoms,348.2178120544107,74.25733323886281,0.8,0
DQN,equal,10,10,2,randoms,408.67927820245643,172.98576671774543,1.0,1
DQN,equal,10,10,2,randoms,380.54361043475296,157.6128519632622,1.0,1
DQN,equal,10,10,2,randoms,663.3340251980551,138.36891778177326,0.8,0
DQN,equal,10,10,2,randoms,341.9618734320068,55.79838974711759,0.8,0
EXP4,equal,20,30,0,randoms,509.38097206451596,365.25353765448574,1.0,1
EXP4,equal,20,30,0,randoms,505.93692900634454,375.0706213093506,1.0,1
EXP4,equal,20,30,0,randoms,488.9291547279045,345.2326328426094,1.0,1
EXP4,equal,20,30,0,randoms,443.2532591246779,288.88110211342666,1.0,1
EXP4,equal,20,30,0,randoms,468.3952603693899,324.58030534808853,1.0,1
AlegAATr,equal,10,40,0,banditsociety,2170.9995997727983,95.72144377929907,0.7,0
AlegAATr,equal,10,40,0,banditsociety,854.4567407154365,104.52525278138698,0.9,0
AlegAATr,equal,10,40,0,banditsociety,865.8743910247597,60.353736691883825,0.1,0
AlegAATr,equal,10,40,0,banditsociety,824.8534517190636,83.0998876416277,0.6,0
AlegAATr,equal,10,40,0,banditsociety,924.8044516216754,82.05404923305093,0.3,0
D-UCB,equal,15,20,0,banditsociety,1600.6387027114245,83.02647861534183,0.26666666666666666,0
D-UCB,equal,15,20,0,banditsociety,1572.935987182461,108.71745552634731,0.5333333333333333,0
D-UCB,equal,15,20,0,banditsociety,1829.2572389508673,58.94437358050857,0.06666666666666667,0
D-UCB,equal,15,20,0,banditsociety,1615.8388728973334,98.81331967555869,0.2,0
D-UCB,equal,15,20,0,banditsociety,1582.1407110686687,72.0133585701952,0.13333333333333333,0
EXP4,equal,20,20,0,randoms,679.2003002350777,305.69251538410225,1.0,1
EXP4,equal,20,20,0,randoms,704.1798294962776,337.111401985277,1.0,1
EXP4,equal,20,20,0,randoms,652.2101538216796,321.9655726384319,1.0,1
EXP4,equal,20,20,0,randoms,658.1324593930518,297.3073380661242,1.0,1
EXP4,equal,20,20,0,randoms,664.4127217010623,294.69517091407147,1.0,1
SW-UCB,equal,20,10,2,banditsociety,2105.175820406359,97.24481695731734,0.25,0
SW-UCB,equal,20,10,2,banditsociety,2024.6622969654252,130.47255659758267,1.0,1
SW-UCB,equal,20,10,2,banditsociety,1959.0232618747218,97.30353894098718,0.65,0
SW-UCB,equal,20,10,2,banditsociety,2020.1766071813947,101.86126548864931,0.5,0
SW-UCB,equal,20,10,2,banditsociety,1886.5697185548825,102.07564518161054,0.5,0
D-UCB,equal,15,30,0,banditsociety,1580.420648147761,89.55392588543013,0.13333333333333333,0
D-UCB,equal,15,30,0,banditsociety,1777.0472377393023,134.14390139655538,0.7333333333333333,0
D-UCB,equal,15,30,0,banditsociety,1501.545113486831,70.55346666971103,0.13333333333333333,0
D-UCB,equal,15,30,0,banditsociety,1551.5501294370954,108.31860118098965,0.5333333333333333,0
D-UCB,equal,15,30,0,banditsociety,1642.754951795301,144.67676191039695,0.8666666666666667,0
EEE,equal,5,10,0,cabsrandomparams,468.60998309557226,97.11416718840113,0.8,0
EEE,equal,5,10,0,cabsrandomparams,475.56137323844064,99.04385441429972,0.6,0
EEE,equal,5,10,0,cabsrandomparams,493.66534245946724,111.56560764679244,1.0,1
EEE,equal,5,10,0,cabsrandomparams,603.5222542488738,102.77232815463691,0.6,0
EEE,equal,5,10,0,cabsrandomparams,502.55857816618436,87.76289500619075,0.2,0
DQN,equal,20,10,2,cabsrandomparams,2008.6348083906514,103.32558730371579,0.65,0
DQN,equal,20,10,2,cabsrandomparams,2187.7000605639473,96.69743802942563,0.2,0
DQN,equal,20,10,2,cabsrandomparams,2094.358523550687,117.74622787976467,0.85,0
DQN,equal,20,10,2,cabsrandomparams,2369.0386953540356,113.027751833206,0.4,0
DQN,equal,20,10,2,cabsrandomparams,2149.1078764947633,111.4882472519632,0.6,0
EXP4,equal,10,30,1,mixture,1319.21708256859,3.6352703915269395,0.3,0
EXP4,equal,10,30,1,mixture,1048.5474439698257,65.37044122383757,0.2,0
EXP4,equal,10,30,1,mixture,402.41569491893074,0.022174662644232956,0.4,0
EXP4,equal,10,30,1,mixture,750.0138195254465,125.67790589967929,1.0,1
EXP4,equal,10,30,1,mixture,1784.7325941623938,94.01098323717166,0.6,0
EEE,equal,10,10,0,selfplay,1021.6486943514515,69.74615149896682,0.1,0
EEE,equal,10,10,0,selfplay,1053.949754867281,108.12152201344603,0.7,0
EEE,equal,10,10,0,selfplay,999.837939744731,96.77471602548529,0.5,0
EEE,equal,10,10,0,selfplay,1049.21511735242,169.16141725314816,1.0,1
EEE,equal,10,10,0,selfplay,1003.9577988665908,99.13683462252587,0.6,0
EEE,equal,15,20,2,cabsonecat,2643.2706338125263,61.885585916623526,0.06666666666666667,0
EEE,equal,15,20,2,cabsonecat,1506.0025254110983,104.4358030859356,0.6666666666666666,0
EEE,equal,15,20,2,cabsonecat,1168.141153829953,2.6645352591003757e-15,0.4,0
EEE,equal,15,20,2,cabsonecat,1664.4314081754326,1.5543122344752192e-15,0.2,0
EEE,equal,15,20,2,cabsonecat,458.6575634597265,7.84233975078331,0.5333333333333333,0
R-UCB,equal,10,40,0,cabsonecat,6941.356503284854,34.6528954758296,0.1,0
R-UCB,equal,10,40,0,cabsonecat,7972.127599928565,116.1588942404631,0.1,0
R-UCB,equal,10,40,0,cabsonecat,5520.533890784434,67.5290833385766,0.1,0
R-UCB,equal,10,40,0,cabsonecat,6997.501250745315,15.620047845112477,0.1,0
R-UCB,equal,10,40,0,cabsonecat,8241.119543641917,15.738558059419042,0.1,0
EXP4,equal,10,20,1,mixture,800.4014554557638,94.48441086487641,0.5,0
EXP4,equal,10,20,1,mixture,1078.3000778830058,142.59298871187428,0.7,0
EXP4,equal,10,20,1,mixture,398.290926862602,0.33101408922874365,0.2,0
EXP4,equal,10,20,1,mixture,1473.5725756993202,116.9289144791852,0.6,0
EXP4,equal,10,20,1,mixture,873.7157172217933,141.09367814721793,1.0,1
EXP4,equal,15,10,2,cabstwocats,1150.100545062428,0.0,0.13333333333333333,0
EXP4,equal,15,10,2,cabstwocats,1342.5345891296088,75.13703197360569,0.13333333333333333,0
EXP4,equal,15,10,2,cabstwocats,1275.5986477518727,1.7763568394002505e-15,0.06666666666666667,0
EXP4,equal,15,10,2,cabstwocats,1295.3223311123172,0.0,0.06666666666666667,0
EXP4,equal,15,10,2,cabstwocats,1117.2939329666126,0.13774986832691916,0.2,0
EEE,equal,15,30,2,cabsonecat,2047.6335733901678,82.61193944701435,0.13333333333333333,0
EEE,equal,15,30,2,cabsonecat,578.2395281419416,1.266917683451302,0.7333333333333333,0
EEE,equal,15,30,2,cabsonecat,1435.122269128159,120.74174344338424,0.9333333333333333,0
EEE,equal,15,30,2,cabsonecat,309.8962753799841,1.4432899320127035e-15,0.26666666666666666,0
EEE,equal,15,30,2,cabsonecat,3006.0364192520824,5.551115123125783e-16,0.2,0
UCB,equal,10,10,1,cabsonecat,1207.8523726332517,105.30286458345039,0.3,0
UCB,equal,10,10,1,cabsonecat,1467.658165728973,84.71982596955503,0.1,0
UCB,equal,10,10,1,cabsonecat,1184.8732795995134,92.63686409786858,0.1,0
UCB,equal,10,10,1,cabsonecat,1357.6132655881559,45.91362001756834,0.1,0
UCB,equal,10,10,1,cabsonecat,1102.895849474136,83.18156568184135,0.2,0
DQN,equal,5,30,2,cabstwocats,316.0896527693644,2.7755575615628914e-17,0.2,0
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1
DQN,equal,5,30,2,cabstwocats,316.02558890306176,0.6299330399908404,0.2,0
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1
UCB,equal,20,20,2,cabstwocats,1566.1458854851344,1.021405182655144e-14,0.05,0
UCB,equal,20,20,2,cabstwocats,1596.0375850912574,61.90506397919732,0.1,0
UCB,equal,20,20,2,cabstwocats,1493.153486710589,1.1546319456101628e-14,0.1,0
UCB,equal,20,20,2,cabstwocats,1352.8171752862536,0.0,0.15,0
UCB,equal,20,20,2,cabstwocats,1566.1458854851344,1.021405182655144e-14,0.05,0
DQN,equal,20,10,0,selfplay,2091.6910633043058,91.36633135748383,0.2,0
DQN,equal,20,10,0,selfplay,2032.9888326346918,105.45747266126676,0.65,0
DQN,equal,20,10,0,selfplay,2088.6604619735494,112.48253553907499,0.6,0
DQN,equal,20,10,0,selfplay,2110.79387638178,111.08053837196334,0.8,0
DQN,equal,20,10,0,selfplay,2084.4617703071813,126.77968966179758,0.8,0
EXP4,equal,5,20,0,selfplay,428.0836709394005,98.62691015594173,1.0,1
EXP4,equal,5,20,0,selfplay,429.87252580843096,94.74334554426376,1.0,1
EXP4,equal,5,20,0,selfplay,421.61664883111763,88.11065802413377,0.8,0
EXP4,equal,5,20,0,selfplay,446.8357947812109,82.77441285407863,0.4,0
EXP4,equal,5,20,0,selfplay,444.8049369595411,84.35206372330119,0.4,0
UCB,equal,5,30,2,cabsonecat,238.3473454570064,93.0740179589412,1.0,1
UCB,equal,5,30,2,cabsonecat,249.658093916298,89.36780300980595,1.0,1
UCB,equal,5,30,2,cabsonecat,773.4734978628122,74.09573631058363,0.6,0
UCB,equal,5,30,2,cabsonecat,252.22212381486025,85.78130084799056,0.8,0
UCB,equal,5,30,2,cabsonecat,263.9143493353455,99.01870861927377,1.0,1
UCB,equal,20,30,2,cabstwocats,1429.5942154744591,78.79907483520654,0.95,0
UCB,equal,20,30,2,cabstwocats,1510.0689236019657,74.15168539371892,0.45,0
UCB,equal,20,30,2,cabstwocats,1584.430508172453,84.13114913420526,0.7,0
UCB,equal,20,30,2,cabstwocats,1429.1310639687458,1.55463599255823,0.05,0
UCB,equal,20,30,2,cabstwocats,1065.2379046853387,0.03269532920733936,0.15,0
SW-UCB,equal,5,40,1,cabsrandomparams,334.48587928484073,66.89717585696815,1.0,1
SW-UCB,equal,5,40,1,cabsrandomparams,278.2305885891652,68.17508415335315,0.6,0
SW-UCB,equal,5,40,1,cabsrandomparams,326.05536733557227,67.22209105737186,0.8,0
SW-UCB,equal,5,40,1,cabsrandomparams,281.63102509326984,65.72883413767289,0.4,0
SW-UCB,equal,5,40,1,cabsrandomparams,286.9651354065584,76.52471083448015,0.8,0
EXP4,equal,5,30,0,selfplay,467.98045562487295,118.61449800628942,1.0,1
EXP4,equal,5,30,0,selfplay,390.15115715152166,97.1670595768487,1.0,1
EXP4,equal,5,30,0,selfplay,396.3241917940661,75.40458836170706,0.4,0
EXP4,equal,5,30,0,selfplay,400.05939969967756,87.01721402713625,0.8,0
EXP4,equal,5,30,0,selfplay,385.43531054554387,79.45692795855153,0.6,0
DQN,equal,5,20,2,cabstwocats,350.19381427380307,0.020538579587111805,0.2,0
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1
R-UCB,equal,10,10,0,cabstwocats,908.2288891255027,76.74388324001193,0.1,0
R-UCB,equal,10,10,0,cabstwocats,908.2288891255027,76.74388324001193,0.1,0
R-UCB,equal,10,10,0,cabstwocats,908.2288891255027,76.74388324001193,0.1,0
R-UCB,equal,10,10,0,cabstwocats,908.2288891255027,76.74388324001193,0.1,0
R-UCB,equal,10,10,0,cabstwocats,915.592811989809,86.98608885063021,0.1,0
UCB,equal,5,20,2,cabsonecat,292.1300928687097,96.28847497513564,0.8,0
UCB,equal,5,20,2,cabsonecat,300.82364805691753,90.48689392064843,0.6,0
UCB,equal,5,20,2,cabsonecat,295.19514785037296,104.7217822068008,1.0,1
UCB,equal,5,20,2,cabsonecat,279.8195389930278,98.72836134293752,1.0,1
UCB,equal,5,20,2,cabsonecat,307.74166188458355,101.71222468655981,0.8,0
R-UCB,equal,20,40,0,banditsociety,3825.7927946328628,203.5245636274649,0.65,0
R-UCB,equal,20,40,0,banditsociety,3841.381244996522,252.29869838194315,1.0,1
R-UCB,equal,20,40,0,banditsociety,3622.508724205592,229.56987665158027,1.0,1
R-UCB,equal,20,40,0,banditsociety,4048.6574677116046,171.37736530715696,0.25,0
R-UCB,equal,20,40,0,banditsociety,3548.6543859185285,222.58864201449478,0.8,0
EXP4,equal,5,40,2,randoms,182.6606909670653,0.012221887827719146,0.4,0
EXP4,equal,5,40,2,randoms,182.103050920905,1.6206354219886165,0.6,0
