score,score_type,learning_alg,feature_set,domain
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
0.5,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
0.5,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
1.0,d,EG,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.8,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.7666666666666666,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.9,d,REGAE,Raw,prisoners
0.0,d,REGAE,Raw,prisoners
0.9,d,REGAE,Raw,prisoners
0.5333333333333333,d,REGAE,Raw,prisoners
0.6,d,REGAE,Raw,prisoners
0.8,d,REGAE,Raw,prisoners
0.8666666666666667,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.5,d,REGAE,Raw,prisoners
0.43333333333333335,d,REGAE,Raw,prisoners
0.9666666666666667,d,REGAE,Raw,prisoners
0.5,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.9,d,REGAE,Raw,prisoners
0.3666666666666667,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.8666666666666667,d,REGAE,Raw,prisoners
1.0,d,REGAE,Raw,prisoners
0.4666666666666667,d,REGAE,Raw,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.5,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
0.5,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.5,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
1.0,d,EG,AAT,prisoners
0.7,d,REGAE,AAT,prisoners
0.8,d,REGAE,AAT,prisoners
0.8666666666666667,d,REGAE,AAT,prisoners
0.3666666666666667,d,REGAE,AAT,prisoners
0.9333333333333333,d,REGAE,AAT,prisoners
0.9333333333333333,d,REGAE,AAT,prisoners
0.5666666666666667,d,REGAE,AAT,prisoners
