round,generator
0,0
1,1
2,1
3,5
4,6
5,6
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,0
17,6
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,4
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
