round,generator
0,0
1,0
2,0
3,0
4,1
5,4
6,5
7,7
8,0
9,5
10,5
11,0
12,5
13,5
14,4
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,0
25,5
26,5
27,0
28,0
29,0
30,5
31,6
32,4
33,5
34,3
35,1
36,5
37,5
38,5
39,1
