round,generator
0,0
1,1
2,3
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,5
14,1
15,6
16,4
17,6
18,4
19,4
20,6
21,1
22,6
23,0
24,3
25,3
26,1
27,4
28,1
29,1
30,1
31,0
32,6
33,1
34,1
35,1
36,1
37,1
38,4
39,4
