round,generator
0,2
1,2
2,3
3,1
4,1
5,0
6,2
7,6
8,2
9,4
10,2
11,1
12,4
13,1
14,4
15,1
16,2
17,1
18,4
19,1
20,4
21,1
22,4
23,1
24,2
25,1
26,2
27,1
28,4
29,1
30,4
31,1
32,3
33,1
34,3
35,1
36,3
37,1
38,6
39,0
