round,generator
0,2
1,6
2,6
3,3
4,6
5,3
6,6
7,3
8,6
9,3
10,6
11,3
12,6
13,6
14,6
15,1
16,4
17,1
18,6
19,1
20,4
21,1
22,4
23,1
24,4
25,1
26,5
27,6
28,5
29,6
