round,generator
0,5
1,5
2,0
3,0
4,5
5,7
6,7
7,7
8,7
9,3
10,3
11,6
12,7
13,3
14,4
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,3
28,0
29,0
