round,generator
0,6
1,6
2,0
3,4
4,7
5,2
6,5
7,0
8,6
9,6
10,5
11,0
12,1
13,1
14,6
15,4
16,4
17,4
18,4
19,4
20,3
21,4
22,4
23,4
24,4
25,4
26,5
27,5
28,5
29,5
30,7
31,7
32,7
33,6
34,6
35,6
36,6
37,7
38,7
39,6
