round,generator
0,4
1,4
2,6
3,0
4,1
5,3
6,3
7,6
8,0
9,3
10,0
11,0
12,0
13,2
14,0
15,1
16,1
17,2
18,2
19,0
20,2
21,3
22,1
23,3
24,4
25,0
26,1
27,3
28,4
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
