round,generator
0,4
1,1
2,7
3,1
4,4
5,4
6,7
7,4
8,4
9,4
10,7
11,7
12,7
13,1
14,1
15,1
16,1
17,1
18,1
19,7
20,4
21,1
22,7
23,1
24,1
25,1
26,1
27,1
28,7
29,1
