round,generator
0,0
1,1
2,0
3,5
4,7
5,3
6,5
7,5
8,5
9,0
10,5
11,5
12,1
13,1
14,5
15,0
16,5
17,0
18,5
19,5
20,5
21,5
22,1
23,1
24,7
25,0
26,2
27,1
28,1
29,1
30,2
31,1
32,1
33,2
34,7
35,7
36,1
37,2
38,1
39,1
