round,generator
0,2
1,2
2,6
3,3
4,3
5,6
6,3
7,1
8,6
9,6
10,1
11,6
12,1
13,6
14,2
15,1
16,2
17,1
18,4
19,6
20,2
21,1
22,4
23,1
24,1
25,2
26,6
27,1
28,1
29,6
30,2
31,6
32,1
33,1
34,2
35,6
36,2
37,6
38,2
39,6
