round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p0-T-p0,p0-T-p1,p0-T-p2,p0-T-p3,p0-T-p4,p1-T-p0,p1-T-p1,p1-T-p2,p1-T-p3,p1-T-p4,p2-T-p0,p2-T-p1,p2-T-p2,p2-T-p3,p2-T-p4,p3-T-p0,p3-T-p1,p3-T-p2,p3-T-p3,p3-T-p4,p4-T-p0,p4-T-p1,p4-T-p2,p4-T-p3,p4-T-p4,p0-I-p0,p0-I-p1,p0-I-p2,p0-I-p3,p0-I-p4,p1-I-p0,p1-I-p1,p1-I-p2,p1-I-p3,p1-I-p4,p2-I-p0,p2-I-p1,p2-I-p2,p2-I-p3,p2-I-p4,p3-I-p0,p3-I-p1,p3-I-p2,p3-I-p3,p3-I-p4,p4-I-p0,p4-I-p1,p4-I-p2,p4-I-p3,p4-I-p4
25,0.2,0.5,1.3,0.95,1.6,77.78213593991472,77.78213593991472,77.78213593991472,77.78213593991472,77.78213593991472,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77.40434662128516,0.0,0.0,0.0,0.0,0.0,77.40434662128516,0.0,0.0,0.0,0.0,0.0,77.40434662128516,0.0,0.0,0.0,0.0,0.0,77.40434662128516,0.0,0.0,0.0,0.0,0.0,77.40434662128516
26,0.2,0.5,1.3,0.95,1.6,77.00431458051558,77.00431458051558,77.00431458051558,77.00431458051558,77.00431458051558,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,76.70208312561192,0.0,0.0,0.0,0.0,0.0,76.70208312561192,0.0,0.0,0.0,0.0,0.0,76.70208312561192,0.0,0.0,0.0,0.0,0.0,76.70208312561192,0.0,0.0,0.0,0.0,0.0,76.70208312561192
27,0.2,0.5,1.3,0.95,1.6,76.23427143471044,76.23427143471044,76.23427143471044,76.23427143471044,76.23427143471044,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.99248627078751,0.0,0.0,0.0,0.0,0.0,75.99248627078751,0.0,0.0,0.0,0.0,0.0,75.99248627078751,0.0,0.0,0.0,0.0,0.0,75.99248627078751,0.0,0.0,0.0,0.0,0.0,75.99248627078751
28,0.2,0.5,1.3,0.95,1.6,75.47192872036334,75.47192872036334,75.47192872036334,75.47192872036334,75.47192872036334,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.27850058922499,0.0,0.0,0.0,0.0,0.0,75.27850058922499,0.0,0.0,0.0,0.0,0.0,75.27850058922499,0.0,0.0,0.0,0.0,0.0,75.27850058922499,0.0,0.0,0.0,0.0,0.0,75.27850058922499
29,0.2,0.5,1.3,0.95,1.6,74.71720943315971,74.71720943315971,74.71720943315971,74.71720943315971,74.71720943315971,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,74.56246692824904,0.0,0.0,0.0,0.0,0.0,74.56246692824904,0.0,0.0,0.0,0.0,0.0,74.56246692824904,0.0,0.0,0.0,0.0,0.0,74.56246692824904,0.0,0.0,0.0,0.0,0.0,74.56246692824904
30,0.2,0.5,1.3,0.95,1.6,73.97003733882812,73.97003733882812,73.97003733882812,73.97003733882812,73.97003733882812,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.84624333489958,0.0,0.0,0.0,0.0,0.0,73.84624333489958,0.0,0.0,0.0,0.0,0.0,73.84624333489958,0.0,0.0,0.0,0.0,0.0,73.84624333489958,0.0,0.0,0.0,0.0,0.0,73.84624333489958
31,0.2,0.5,1.3,0.95,1.6,73.23033696543985,73.23033696543985,73.23033696543985,73.23033696543985,73.23033696543985,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.13130176229701,0.0,0.0,0.0,0.0,0.0,73.13130176229701,0.0,0.0,0.0,0.0,0.0,73.13130176229701,0.0,0.0,0.0,0.0,0.0,73.13130176229701,0.0,0.0,0.0,0.0,0.0,73.13130176229701
32,0.2,0.5,1.3,0.95,1.6,72.49803359578546,72.49803359578546,72.49803359578546,72.49803359578546,72.49803359578546,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.41880543327119,0.0,0.0,0.0,0.0,0.0,72.41880543327119,0.0,0.0,0.0,0.0,0.0,72.41880543327119,0.0,0.0,0.0,0.0,0.0,72.41880543327119,0.0,0.0,0.0,0.0,0.0,72.41880543327119
33,0.2,0.5,1.3,0.95,1.6,71.7730532598276,71.7730532598276,71.7730532598276,71.7730532598276,71.7730532598276,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,71.7096707298162,0.0,0.0,0.0,0.0,0.0,71.7096707298162,0.0,0.0,0.0,0.0,0.0,71.7096707298162,0.0,0.0,0.0,0.0,0.0,71.7096707298162,0.0,0.0,0.0,0.0,0.0,71.7096707298162
34,0.2,0.5,1.3,0.95,1.6,71.05532272722931,71.05532272722931,71.05532272722931,71.05532272722931,71.05532272722931,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,71.00461670322018,0.0,0.0,0.0,0.0,0.0,71.00461670322018,0.0,0.0,0.0,0.0,0.0,71.00461670322018,0.0,0.0,0.0,0.0,0.0,71.00461670322018,0.0,0.0,0.0,0.0,0.0,71.00461670322018
35,0.2,0.5,1.3,0.95,1.6,70.34476949995704,70.34476949995704,70.34476949995704,70.34476949995704,70.34476949995704,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.30420468074973,0.0,0.0,0.0,0.0,0.0,70.30420468074973,0.0,0.0,0.0,0.0,0.0,70.30420468074973,0.0,0.0,0.0,0.0,0.0,70.30420468074973,0.0,0.0,0.0,0.0,0.0,70.30420468074973
36,0.2,0.5,1.3,0.95,1.6,69.64132180495747,69.64132180495747,69.64132180495747,69.64132180495747,69.64132180495747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,69.60886994959162,0.0,0.0,0.0,0.0,0.0,69.60886994959162,0.0,0.0,0.0,0.0,0.0,69.60886994959162,0.0,0.0,0.0,0.0,0.0,69.60886994959162,0.0,0.0,0.0,0.0,0.0,69.60886994959162
37,0.2,0.5,1.3,0.95,1.6,68.9449085869079,68.9449085869079,68.9449085869079,68.9449085869079,68.9449085869079,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,68.91894710261522,0.0,0.0,0.0,0.0,0.0,68.91894710261522,0.0,0.0,0.0,0.0,0.0,68.91894710261522,0.0,0.0,0.0,0.0,0.0,68.91894710261522,0.0,0.0,0.0,0.0,0.0,68.91894710261522
38,0.2,0.5,1.3,0.95,1.6,68.25545950103881,68.25545950103881,68.25545950103881,68.25545950103881,68.25545950103881,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,68.23469031360467,0.0,0.0,0.0,0.0,0.0,68.23469031360467,0.0,0.0,0.0,0.0,0.0,68.23469031360467,0.0,0.0,0.0,0.0,0.0,68.23469031360467,0.0,0.0,0.0,0.0,0.0,68.23469031360467
39,0.2,0.5,1.3,0.95,1.6,67.57290490602843,67.57290490602843,67.57290490602843,67.57290490602843,67.57290490602843,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,67.55628955608111,0.0,0.0,0.0,0.0,0.0,67.55628955608111,0.0,0.0,0.0,0.0,0.0,67.55628955608111,0.0,0.0,0.0,0.0,0.0,67.55628955608111,0.0,0.0,0.0,0.0,0.0,67.55628955608111
40,0.2,0.5,1.3,0.95,1.6,66.89717585696815,66.89717585696815,66.89717585696815,66.89717585696815,66.89717585696815,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.8838835770103,0.0,0.0,0.0,0.0,0.0,66.8838835770103,0.0,0.0,0.0,0.0,0.0,66.8838835770103,0.0,0.0,0.0,0.0,0.0,66.8838835770103,0.0,0.0,0.0,0.0,0.0,66.8838835770103
