round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p0-T-p0,p0-T-p1,p0-T-p2,p0-T-p3,p0-T-p4,p0-T-p5,p0-T-p6,p0-T-p7,p0-T-p8,p0-T-p9,p1-T-p0,p1-T-p1,p1-T-p2,p1-T-p3,p1-T-p4,p1-T-p5,p1-T-p6,p1-T-p7,p1-T-p8,p1-T-p9,p2-T-p0,p2-T-p1,p2-T-p2,p2-T-p3,p2-T-p4,p2-T-p5,p2-T-p6,p2-T-p7,p2-T-p8,p2-T-p9,p3-T-p0,p3-T-p1,p3-T-p2,p3-T-p3,p3-T-p4,p3-T-p5,p3-T-p6,p3-T-p7,p3-T-p8,p3-T-p9,p4-T-p0,p4-T-p1,p4-T-p2,p4-T-p3,p4-T-p4,p4-T-p5,p4-T-p6,p4-T-p7,p4-T-p8,p4-T-p9,p5-T-p0,p5-T-p1,p5-T-p2,p5-T-p3,p5-T-p4,p5-T-p5,p5-T-p6,p5-T-p7,p5-T-p8,p5-T-p9,p6-T-p0,p6-T-p1,p6-T-p2,p6-T-p3,p6-T-p4,p6-T-p5,p6-T-p6,p6-T-p7,p6-T-p8,p6-T-p9,p7-T-p0,p7-T-p1,p7-T-p2,p7-T-p3,p7-T-p4,p7-T-p5,p7-T-p6,p7-T-p7,p7-T-p8,p7-T-p9,p8-T-p0,p8-T-p1,p8-T-p2,p8-T-p3,p8-T-p4,p8-T-p5,p8-T-p6,p8-T-p7,p8-T-p8,p8-T-p9,p9-T-p0,p9-T-p1,p9-T-p2,p9-T-p3,p9-T-p4,p9-T-p5,p9-T-p6,p9-T-p7,p9-T-p8,p9-T-p9,p0-I-p0,p0-I-p1,p0-I-p2,p0-I-p3,p0-I-p4,p0-I-p5,p0-I-p6,p0-I-p7,p0-I-p8,p0-I-p9,p1-I-p0,p1-I-p1,p1-I-p2,p1-I-p3,p1-I-p4,p1-I-p5,p1-I-p6,p1-I-p7,p1-I-p8,p1-I-p9,p2-I-p0,p2-I-p1,p2-I-p2,p2-I-p3,p2-I-p4,p2-I-p5,p2-I-p6,p2-I-p7,p2-I-p8,p2-I-p9,p3-I-p0,p3-I-p1,p3-I-p2,p3-I-p3,p3-I-p4,p3-I-p5,p3-I-p6,p3-I-p7,p3-I-p8,p3-I-p9,p4-I-p0,p4-I-p1,p4-I-p2,p4-I-p3,p4-I-p4,p4-I-p5,p4-I-p6,p4-I-p7,p4-I-p8,p4-I-p9,p5-I-p0,p5-I-p1,p5-I-p2,p5-I-p3,p5-I-p4,p5-I-p5,p5-I-p6,p5-I-p7,p5-I-p8,p5-I-p9,p6-I-p0,p6-I-p1,p6-I-p2,p6-I-p3,p6-I-p4,p6-I-p5,p6-I-p6,p6-I-p7,p6-I-p8,p6-I-p9,p7-I-p0,p7-I-p1,p7-I-p2,p7-I-p3,p7-I-p4,p7-I-p5,p7-I-p6,p7-I-p7,p7-I-p8,p7-I-p9,p8-I-p0,p8-I-p1,p8-I-p2,p8-I-p3,p8-I-p4,p8-I-p5,p8-I-p6,p8-I-p7,p8-I-p8,p8-I-p9,p9-I-p0,p9-I-p1,p9-I-p2,p9-I-p3,p9-I-p4,p9-I-p5,p9-I-p6,p9-I-p7,p9-I-p8,p9-I-p9
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2,0.5,1.3,0.95,1.6,108.5,100.7,104.6,103.3,100.7,99.4,120.2,107.2,104.6,96.8,0.2,0.0,0.05,0.05,0.0,0.1,0.05,0.3,0.25,0.0,0.0,0.2,0.15,0.0,0.1,0.0,0.25,0.0,0.25,0.05,0.0,0.1,0.2,0.2,0.25,0.0,0.05,0.1,0.0,0.1,0.0,0.2,0.25,0.2,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.2,0.1,0.25,0.0,0.15,0.0,0.15,0.0,0.05,0.25,0.0,0.2,0.1,0.0,0.0,0.25,0.1,0.15,0.1,0.0,0.1,0.0,0.2,0.25,0.0,0.1,0.2,0.1,0.0,0.15,0.1,0.0,0.25,0.2,0.0,0.0,0.15,0.1,0.2,0.0,0.0,0.1,0.05,0.2,0.2,0.0,0.1,0.0,0.0,0.05,0.0,0.05,0.4,0.05,0.15,0.2,3.8000000000000003,0.0,1.3,1.3,0.0,2.6,1.3,7.800000000000001,6.5,0.0,0.0,3.8000000000000003,3.9000000000000004,0.0,2.6,0.0,6.5,0.0,6.5,1.3,0.0,2.6,3.8000000000000003,5.2,6.5,0.0,1.3,2.6,0.0,2.6,0.0,5.2,6.5,3.8000000000000003,2.6,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,1.3,3.8000000000000003,2.6,6.5,0.0,3.9000000000000004,0.0,3.9000000000000004,0.0,1.3,6.5,0.0,3.8000000000000003,2.6,0.0,0.0,6.5,2.6,3.9000000000000004,2.6,0.0,2.6,0.0,3.8000000000000003,6.5,0.0,2.6,5.2,2.6,0.0,3.9000000000000004,2.6,0.0,6.5,3.8000000000000003,0.0,0.0,3.9000000000000004,2.6,5.2,0.0,0.0,2.6,1.3,5.2,3.8000000000000003,0.0,2.6,0.0,0.0,1.3,0.0,1.3,10.4,1.3,3.9000000000000004,3.8000000000000003
2,0.2,0.5,1.3,0.95,1.6,116.01923403441685,100.0780847036329,116.44556443594648,108.41845468451244,109.2566812619503,109.40014608030594,122.357613957935,109.93159751434035,108.19840669216063,94.01021663479925,0.2,0.05,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.15,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.25,0.3,0.25,0.2,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.2,0.15,0.05,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.25,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.1,0.1,0.2,0.15,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,7.219673040152965,1.4105,1.0593881453154876,1.0593881453154876,4.2315000000000005,2.1187762906309753,5.290888145315488,10.587828871892928,9.52844072657744,4.2315000000000005,2.6182000000000003,6.809926959847036,5.680035564053538,2.6182000000000003,4.659423709369026,2.6182000000000003,7.721259273422563,2.6182000000000003,7.721259273422563,1.0206118546845127,2.7196,4.7996,7.014800000000001,6.8796,7.9196,2.7196,3.7596,4.7996,2.7196,2.08,0.0,4.13414913957935,15.910886424474189,6.946508986615678,2.067074569789675,15.910886424474189,0.0,0.0,0.0,0.0,7.721259273422563,2.6182000000000003,2.6182000000000003,3.638811854684513,6.809926959847036,4.659423709369026,7.721259273422563,2.6182000000000003,5.680035564053538,0.0,3.0424474187380497,0.0,7.475149139579351,12.823945697896752,6.461,6.741635946462716,2.0282982791587005,0.0,0.0,5.070745697896751,6.922905162523901,8.04045774378585,2.235105162523901,0.0,6.922905162523901,0.0,7.834292160611856,10.275562906309752,1.5626000000000002,6.922905162523901,12.573301720841302,2.1058508604206505,0.0,3.1587762906309753,2.1058508604206505,0.0,12.232627151051627,7.151382026768643,6.968000000000001,0.0,7.199400000000001,6.1594,4.16,0.0,4.0794,2.08,3.7596,6.8796,7.014800000000001,4.0794,2.00244741873805,0.0,6.292000000000001,7.293223709369026,0.0,8.551623709369025,8.0097896749522,1.001223709369025,3.003671128107075,6.605053919694073
3,0.2,0.5,1.3,0.95,1.6,125.16536110285276,115.56483817961228,114.64824164614569,102.8287032302681,121.67376090620348,106.20287164177083,128.42581463672929,114.891757507296,112.80565478779651,102.23833236132526,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.15,0.15,0.0,0.2,0.0,0.15,0.05,0.15,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.15,0.15,0.0,0.0,0.15,0.0,0.2,0.15,0.05,0.15,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.15,0.15,0.0,0.0,0.1,0.0,0.15,0.1,0.15,0.2,10.249307262558002,5.665718786021959,0.8571232571164066,0.8571232571164066,7.9476561033813615,1.7142465142328132,8.804779360497768,14.59864568852722,12.233272388963393,3.422905976039104,5.94536553376461,9.116164141693364,4.431857779450569,2.0423202303229275,7.538390566516371,2.0423202303229275,11.228943216791244,5.94536553376461,9.927928115644015,0.7965125163758806,2.2456161664759495,10.018273980989106,10.217161292879648,11.735762444833044,6.539337326085796,8.300785517145167,3.104360398397919,3.9631046303198882,2.2456161664759495,7.772657814513156,0.0,3.3128956252813113,19.797461146205578,9.686511526142084,1.6564478126406557,21.20690105710424,0.0,0.0,0.0,7.04719955449331,10.551645141938305,6.3945902681876525,6.3945902681876525,2.9649906737217204,9.700340912643739,3.796401648471851,10.551645141938305,3.5539165553769445,8.888823192438043,0.0,2.4958693512225563,0.0,11.824479341122583,16.213048201660488,10.992522890715062,9.68971180905034,1.6639129008150375,0.0,0.0,9.848589848213503,10.234348788012259,11.115571556041434,1.762445536058351,0.0,10.234348788012259,0.0,10.830556900758321,12.878017092099785,2.8239677506513026,10.234348788012259,15.676021960076104,5.955286526669305,0.0,2.5019313354150454,5.955286526669305,0.0,13.976943230509637,9.842096324669761,9.80705767148456,0.0,11.353905382437482,9.119938845970974,3.3095489978736747,0.0,7.465164347034136,1.6547744989368374,7.210742767822598,9.692904516227854,9.692266451966589,3.2454264860398716,5.213281516367489,3.666398448757171,4.853574027251224,5.627015561056384,2.4442656325047807,6.597730366506628,9.853930719198441,3.2177071663099395,5.986723050172647,8.670691377638168
4,0.2,0.5,1.3,0.95,1.6,131.5876009493691,120.66665947125381,115.40873010354537,109.18650877635416,125.40207474419003,111.47906620183349,134.5884354962597,123.59763381031999,118.96997500395814,106.20313689891647,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.15,0.0,0.2,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,13.085798896981316,9.485318325770399,0.6967757257486819,0.6967757257486819,11.339834848603202,1.3935514514973637,12.036610574351883,18.37317589121329,14.82371347734661,2.7817747842492047,9.508391091900162,12.056008677733812,3.723188545161749,1.7166151461438954,10.8461066912454,1.7166151461438954,15.449938738848674,9.508391091900162,12.852680090263252,0.6688577996726178,1.7420930596462645,7.776357620140377,12.286089842235217,18.05130521779119,5.073054932774878,13.896108577888402,2.408285434271987,3.0744778088977096,1.7420930596462645,13.486400267493584,0.0,2.52728657079741,21.783415718706465,11.295540528589132,1.263643285398705,24.19515914322136,0.0,0.0,0.0,12.058717122574475,13.46049903812284,10.027387558709002,5.282110883367065,2.4496915996162048,12.636256044423407,3.136313895498972,15.042257929903487,7.68135983895325,12.087254446357306,0.0,1.9249007572816392,0.0,16.018736394843,20.78321198261012,8.47391615236735,11.506470086176705,1.283267171521093,0.0,0.0,14.498751170975613,13.210217772779032,13.91647476339849,1.4125139812389174,0.0,13.210217772779032,0.0,13.559642077157502,16.99852433491489,7.271639111068334,8.201611001946588,18.50993559610704,9.243003320031917,0.0,2.0007015262240926,9.243003320031917,0.0,15.657646922152676,12.236262174969966,12.323144378445857,0.0,14.93421743191373,11.68348506698914,2.64333683109033,0.0,10.361816651443977,1.321668415545165,10.158610132553907,12.141112755871653,12.027798267716548,2.592122179987955,4.251547304637061,2.991337567683246,10.602562181153928,11.232667049630836,1.9942250451221637,13.35317948586162,8.032176515498508,2.6243299135990714,4.881652173113969,10.95490257201642
5,0.2,0.5,1.3,0.95,1.6,137.90299339022548,125.8465155567657,117.87246080859393,115.90132081082936,129.65976095026414,117.62220693134634,140.2618332162812,131.77627353561044,124.58892970742514,110.72365833563464,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.15,0.0,0.2,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,15.495983188474495,12.73959725415217,0.5588987650219005,0.5588987650219005,14.227075924684438,1.117797530043801,14.785974689706343,21.579087821111187,17.02156974979394,2.231218005798405,12.305830232716717,14.221435025364437,2.975876369091031,1.3720465726042828,13.375050097041214,1.3720465726042828,18.623474446898776,12.305830232716717,14.978879893527964,0.5346099321622496,1.3674252876070192,6.106119542842411,14.030951029196903,23.173259482397462,3.982005187429236,18.411377565935332,1.8903412675714628,2.413257247535906,1.3674252876070192,18.089784238257195,0.0,2.036309537038396,24.651224210779514,13.251680001520107,1.018154768519198,28.014324020804736,0.0,0.0,0.0,16.815499050126114,15.578247352005606,12.852538444591914,4.19350559173635,1.944729140060099,14.798327789653712,2.4898709215428374,18.46459163629079,10.989926289152587,14.487963789040128,0.0,1.54252851094724,0.0,20.08334077187078,25.35070602363804,6.790760462472882,13.457267905152356,1.0283523406314934,0.0,0.0,18.865146739694573,15.827195089227903,16.39276789136418,1.1311456042725572,0.0,15.827195089227903,0.0,15.97244050953433,20.610459481708236,11.07177513379478,6.5675571310134035,21.445195600507766,12.31996512794952,0.0,1.623385787876364,12.31996512794952,0.0,17.524243111906458,14.624766758439817,14.818600132112518,0.0,18.183053488991618,14.025132464067273,2.1233456140896294,0.0,12.963459657022458,1.0616728070448147,12.800227462939317,14.39273667350654,14.182738896625839,2.0822057928166426,3.38953463974709,2.3846502693953897,15.356172852535266,15.858615037711118,1.5897668462635934,18.92984960821817,6.4041877508021905,2.0922090314394435,3.8919768249229394,12.769637445766044
6,0.2,0.5,1.3,0.95,1.6,144.39349730391143,133.15050351951191,121.19227043761778,122.62222396704618,134.40416139027244,123.90791649504219,146.2022173272395,137.9094550493951,130.3737632409675,115.59911836114935,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,17.649069025745824,15.579672377703606,0.44756529170619175,0.44756529170619175,16.770822335515295,0.8951305834123835,17.218387627221485,24.450913218685027,19.008648794046255,1.7867249367175368,14.738034097224936,16.14239962190713,2.377159439401589,1.0959878493384074,15.59214849060039,1.0959878493384074,21.42066882995908,14.738034097224936,16.873320080663575,0.42705719668772757,1.0812850114472363,4.829468075386911,15.57412507064113,27.51778606739267,3.1487515725318183,22.220257590596354,1.4947783236641528,1.9082716358810694,1.0812850114472363,21.96595920358295,0.0,1.6405615951733623,27.39790522109343,15.082792137529367,0.8202807975866812,31.61486994424311,0.0,0.0,0.0,21.084823615748384,17.44681359077539,15.279095913794563,3.334904098131113,1.5464931604571361,16.69681155475679,1.9800366958533004,21.428210862663207,13.797792931747804,16.57972651998306,0.0,1.2392028894821916,0.0,23.7814684769128,29.542519781959967,5.455704148394094,15.281766193557335,0.8261352596547943,0.0,0.0,22.802531766225776,18.10861106460694,20.38359257979956,0.9031553667619344,0.0,18.10861106460694,0.0,18.084286472398478,21.928039135762784,14.311349604930857,5.244314506133161,24.17524979262055,15.091099127482758,0.0,1.3114311837222408,15.091099127482758,0.0,19.294968632399716,16.821046723796563,17.109249992862647,0.0,21.03362791882272,16.085676682400845,1.69967216169062,0.0,15.235840601555534,0.84983608084531,15.105178304125568,16.379932425393534,16.087246140187,1.6667410135578642,2.7072039131856402,1.904537545863185,19.461915311278958,19.863248494940187,1.2696916972421235,23.755631557195983,5.115203015153007,1.6710248809033512,3.1085370968468684,14.40656612249593
7,0.2,0.5,1.3,0.95,1.6,151.07914502554476,140.34341123160075,125.16899281717163,129.34247607691444,141.51679508370006,130.3126480765535,150.77649256901657,144.2881380734285,136.4026430357912,120.77312094867114,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.2,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,19.613471451783134,18.101465200808253,0.3582434301955697,0.3582434301955697,19.054885146769664,0.7164868603911394,19.413128576965235,27.07926413721893,20.846102297747514,1.430129918942122,17.05165360241043,18.048515228482238,1.912794793236218,0.8819444801981678,17.738887144435797,0.8819444801981678,24.159640498211267,17.05165360241043,18.769737457473845,0.3436167710126835,0.8578758952334451,3.8322495004620545,16.960705737987933,31.283081990178616,2.498173974073684,25.50505798407635,1.1859355110014929,1.5139951267695404,0.8578758952334451,25.303301320379,0.0,1.31967969921388,30.013318740298637,16.794546952057956,0.65983984960694,35.00030031446604,0.0,0.0,0.0,24.93490787083699,19.13623542392782,19.157250887722014,2.6556332905177733,1.2314571565839643,18.404515334180637,1.5767048834398323,22.307102492231177,16.230380882455357,18.445739970216078,0.0,0.9947776691406575,0.0,27.14666685230539,33.38257543117331,4.379790946525634,16.977162199764656,0.6631851127604385,0.0,0.0,26.360628660490583,20.163488359951984,21.980264297496184,0.7211929968252252,0.0,22.064117185206094,0.0,19.99782627225268,23.21360057302087,17.131027085475765,4.188095413301707,26.51656834926396,17.454515614851665,0.0,1.049423896755244,17.454515614851665,0.0,20.818498046619375,18.700928991150782,19.069458218693967,0.0,23.60981130354847,17.95577415544461,1.360017397615786,0.0,17.27576545663672,0.680008698807893,17.171214119195007,18.191227167406847,17.82665597908321,1.3336670605369803,2.163742970284854,1.5221766471198486,23.068899578189093,23.389682739771597,1.0147844314132324,28.00346265540942,4.088441939779867,1.3355675929957351,2.484526131867356,15.907253933171049
8,0.2,0.5,1.3,0.95,1.6,158.06705112743862,147.7799282476755,129.69388046056542,136.13642247751125,146.767724909977,136.86940750220634,157.8672175424471,150.92553973736486,142.70883685534295,126.20803177302962,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,21.434063489341362,20.375354310393476,0.2866380731075646,0.2866380731075646,21.138203572369754,0.5732761462151292,21.424841645477322,29.522675237483593,22.57139393790758,1.1442738929644223,19.167497218388988,19.827749698882677,1.536202562095278,0.7083343895777653,19.719409333400662,0.7083343895777653,26.700331782188584,19.167497218388988,20.547277505918174,0.27595605750583757,0.6821425378294682,3.0475875344743684,18.241356204266513,34.63491864667596,1.9864303730674573,28.413885715467842,0.9430001048770662,1.2038576719246639,0.6821425378294682,28.253458311733567,0.0,1.060040670106008,32.5187696939338,18.407148940984946,0.530020335053004,38.20665638160861,0.0,0.0,0.0,28.439433438374074,20.87873428749799,20.895543252457212,2.1316725354625397,0.9885110051798333,20.1499198169755,1.2656345752987361,25.263455439091228,18.546259703302404,20.324487147260186,0.0,0.7979264552834605,0.0,30.246753919438703,36.94307102111955,3.5132150256349153,18.570501502114073,0.5319509701889737,0.0,0.0,29.616143462011436,21.897688208619428,25.300884558503622,0.5726738700550481,0.0,23.40749782797431,0.0,21.615203986117546,24.32031807726532,19.48891430840454,3.3268239152948085,28.71882399603545,19.592550794108767,0.0,0.8396431385732263,19.592550794108767,0.0,22.28406744015615,20.445516048764226,20.884662209200776,0.0,25.982982806881655,19.685992682631966,1.0881400306352569,0.0,19.141922667314336,0.5440700153176284,19.058271902459246,19.87437692543569,19.446283390539733,1.0670573175416989,1.7299761275607946,1.2170087461174024,26.2944575715707,26.550941262292397,0.8113391640782681,31.80983277660654,3.26887827189097,1.0678228547999642,1.98645981828249,17.30766937760376
9,0.2,0.5,1.3,0.95,1.6,163.50983567928975,155.37632143805322,136.4533390125434,143.0452623142775,152.5249256470088,141.82646353884934,165.22006669449297,159.75818169391331,149.2794437156159,131.94930676865826,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.2,0.3,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.2,0.0,0.25,0.0,0.0,0.0,0.25,0.15,0.15,0.0,0.0,0.2,0.0,0.2,0.15,0.15,0.0,0.0,0.0,0.25,0.3,0.0,0.2,0.0,0.0,0.0,0.25,0.15,0.2,0.0,0.0,0.15,0.0,0.2,0.15,0.15,0.0,0.2,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.15,0.2,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.2,23.15588629256393,22.466877429354426,0.22933957815159078,0.22933957815159078,23.077232986860835,0.45867915630318157,23.30657256501243,31.840503672637453,24.22393087761879,0.9155333362596144,21.149111044046023,21.531339901667202,1.233152634279332,0.5686191374390834,21.592133375272855,0.5686191374390834,29.116830840982086,21.149111044046023,22.256666872113108,0.22151116561341624,0.5432605961491025,2.4273244318105736,19.454192720848788,37.69598937369778,1.5819997857267358,31.056136477692984,0.7510084340646289,0.9587562719801558,0.5432605961491025,30.928371557374934,0.0,0.8506022291805975,36.7149543044644,19.944957856927505,0.42530111459029873,39.50976330884785,0.0,0.0,0.0,31.671779943993734,22.355782290756512,22.369232988716917,1.6979198371255535,0.7873457477794283,21.62843363951914,1.0080866353090074,27.756679827142566,20.497867868524814,21.914300515697352,0.0,0.6396250578918228,0.0,33.14395064666256,40.291354791954774,2.816296356705603,20.088119016381047,0.42641670526121517,0.0,0.0,32.638376320662395,23.683532946900744,28.45970315122265,0.4583750130046945,0.0,24.89197000061674,0.0,23.299573775110705,25.622599126736656,21.75556613502755,2.6627627113074457,30.82319855376008,21.56014438129267,0.0,0.671714847169373,21.56014438129267,0.0,23.71335876731864,22.09159138562044,22.593834022036347,0.0,26.35433971890417,21.316188020239956,0.8706084337230602,0.0,20.880883803378424,0.4353042168615301,20.81395578003596,23.322126984447713,20.981690381781725,0.8537403953196757,1.383326378317359,0.973136104568236,29.22907304428341,29.43416818115797,0.6487574030454908,35.27998279001465,2.6138971995647284,0.8538525399200522,1.5884215151919205,18.635458538127043
